# Wordlist

# DATA
ID	DOCULECT	CONCEPT	IPA	COGID
405	aGr	die	(ἔφθι-)	159
406	aGr	die	ἀποθνῄσκω	160
407	rGr	die	πεθαίνω	160
408	Hit	die	āk(k)-	161
409	ToB	die	B sruk-	162
410	aGr	die	(άλϖναιἡ)	163
411	Hit	die	(walahzi)?	163
412	ToB	die	( A wäl-)	163
#
413	Lit	dog	šuõ	164
414	oIs	dog	hundr	164
415	Bkm	dog	hund	164
416	oIr	dog	cū	164
417	Itn	dog	cane	164
418	Lat	dog	canis	164
419	aGr	dog	κύων	164
420	Arm	dog	šun	164
421	Hit	dog	UR (kuwan-?)	164
422	ToB	dog	ku	164
423	Ave	dog	spā	164
424	San	dog	śvā́-	164
425	Rus	dog	[собака]	165
426	rIr	dog	[madra]	166
427	Alb	dog	>[qen]L	167
428	rGr	dog	σκύλος	168
429	Hnd	dog	[kuttā ]L	169
#
430	Rus	drink	pi-tь	170
431	oIr	drink	ibid	170
432	rIr	drink	ól(aim)	170
433	Itn	drink	bere	170
434	Lat	drink	bib-	170
435	Alb	drink	pī	170
436	aGr	drink	πί̄νω	170
437	rGr	drink	πίνω	170
438	Arm	drink	(əmpem)	170
439	Ave	drink	(paitī {fadj})	170
440	San	drink	pā	170
441	Hnd	drink	pīnā	170
442	Lat	drink	(ēbrius)	171
443	Hit	drink	egu	171
444	ToB	drink	#ERROR!	171
445	Lit	drink	gérti	172
446	oIs	drink	drekka	173
447	Bkm	drink	drikke	173
448	Arm	drink	[xmel]	174
449	Ave	drink	xvar(aiti)	175
#
450	Rus	dry	сухой	176
451	Lit	dry	saũsas	176
452	Lat	dry	(sūdus) (āridus)	176
453	Alb	dry	thatë	176
454	aGr	dry	(αὖχμηρός)	176
455	Hit	dry	ḫāt-ant	176
456	ToB	dry	āsar	176
457	Ave	dry	huška	176
458	San	dry	śúṣka	176
459	Hnd	dry	sūkhā	176
460	oIs	dry	þurr	177
461	Bkm	dry	tørr	177
462	oIr	dry	tīr(im)	177
463	rIr	dry	tirim	177
464	Lat	dry	(oLa torrus)	177
465	Alb	dry	(ter)	177
466	aGr	dry	τέρσομαι	177
467	Hit	dry	(tarš-ant)	177
468	Ave	dry	(taršu-)	177
469	aGr	dry	ξηρός	178
470	rGr	dry	ξηρός	178
471	Arm	dry	čor	178
472	Itn	dry	secco	179
473	Lat	dry	siccus	179
#
474	Rus	ear	ухо	180
475	Lit	ear	ausìs	180
476	oIs	ear	eyra	180
477	Bkm	ear	[øre]	180
478	oIr	ear	(āu)	180
479	Itn	ear	orecchio	180
480	Lat	ear	auris	180
481	Alb	ear	vesh	180
482	aGr	ear	οὐς	180
483	rGr	ear	αυτί	180
484	Arm	ear	akanǰ	180
485	Ave	ear	(uši) [?]	180
486	oIr	ear	clúas	181
487	rIr	ear	cluas	181
488	ToB	ear	klautsoB	181
489	Hit	ear	istāman	182
490	Ave	ear	gao-šō	183
491	San	ear	kárṇa	184
492	Hnd	ear	kān	184
#
493	Rus	earth	(земля)	185
494	Lit	earth	(žẽmė)	185
495	rIr	earth	ithir	185
496	Lat	earth	humus	185
497	Alb	earth	dhe	185
498	aGr	earth	χθών	185
499	Hit	earth	tēkan	185
500	ToB	earth	keṃ	185
501	Ave	earth	zā̊(m)	185
502	San	earth	kṣā́m	185
503	Rus	earth	почва !	186
504	Lit	earth	dirva	187
505	oIs	earth	mold	188
506	oIs	earth	(jǫrð)	189
507	Bkm	earth	[jord]	189
508	aGr	earth	(ἔρᾱ)	189
509	oIr	earth	talam	190
510	rIr	earth	(talam?)	190
511	Itn	earth	suolo	191
512	Lat	earth	(solum)	191
513	aGr	earth	(οὖδας)	192
514	rGr	earth	έδαφος	192
515	Arm	earth	(getin?)	192
516	Hit	earth	(utnē)	192
517	Arm	earth	hoġ	193
518	Hnd	earth	dhartī	194
519	Itn	earth	(terra)	195
520	Lat	earth	(terra)	195
#
521	Rus	eat	ес-ть	196
522	Lit	eat	(ė́du)	196
523	oIs	eat	eta	196
524	oIr	eat	(ed- suppl)	196
525	Lat	eat	edō	196
526	aGr	eat	ἔδω	196
527	Arm	eat	ute-l	196
528	Hit	eat	ēd-	196
529	Ave	eat	ađāiti	196
530	San	eat	ád-	196
531	Lit	eat	válg-yti	197
532	Bkm	eat	[spise]L	198
533	oIr	eat	ith(id-)	199
534	rIr	eat	ith	199
535	Itn	eat	[mangiare]	200
536	Alb	eat	hë-ngra	201
537	rGr	eat	τρώ(γ)ω	202
538	ToB	eat	tāpp	203
539	Hnd	eat	khānā	204
540	San	eat	[yuváte]?	205
541	oIs	eat	(ǣja)	206
542	San	eat	(as-)	206
#
543	Rus	egg	яйцо	207
544	oIs	egg	egg	207
545	Bkm	egg	egg	207
546	oIr	egg	og	207
547	rIr	egg	ubh	207
548	Itn	egg	uovo	207
549	Lat	egg	ōvum	207
550	Alb	egg	vez-ë	207
551	aGr	egg	ὠιόν	207
552	rGr	egg	αυγό	207
553	Arm	egg	ču	207
554	Ave	egg	BH: aēm	207
555	San	egg	(hagey)	207
556	Lit	egg	kiaušìnis	208
557	Hit	egg	G	209
558	ToB	egg	G	210
559	ToB	egg	- na	211
560	Ave	egg	Ri,St na	211
561	San	egg	[āṅḍā]	211
562	Hnd	egg	[ãṇḍā]	211
#
563	Rus	eye	(oko alt)	212
564	Lit	eye	akìs	212
565	oIs	eye	auga	212
566	Bkm	eye	[øye]	212
567	Itn	eye	occhio	212
568	Lat	eye	oculus	212
569	Alb	eye	syri	212
570	aGr	eye	ὄσσε	212
571	Arm	eye	akn (ačʿkʿ)	212
572	ToB	eye	A ek	212
573	San	eye	ákṣi	212
574	Hnd	eye	ā̃kh	212
575	Rus	eye	глаз	213
576	oIr	eye	rosc? (Pok)	213
577	oIr	eye	súil	214
578	rIr	eye	súil	214
579	aGr	eye	(ὀφθαλμός)	215
580	rGr	eye	μάτι	215
581	Hit	eye	šākuwa	216
582	ToB	eye	(sotre)	216
583	Ave	eye	čašman	217
584	San	eye	(cákṣuṣ)	217
#
585	oIs	feather	fjǫðr	218
586	Bkm	feather	fjær	218
587	Itn	feather	( penna)	218
588	Lat	feather	penna	218
589	aGr	feather	πτερόν	218
590	rGr	feather	φτερό	218
591	Arm	feather	pʿetur (?)	218
592	Hit	feather	pattar	218
593	San	feather	(páttra, cf ‘leaf’)	218
594	Rus	feather	перо	219
595	ToB	feather	paruwaB	219
596	Ave	feather	parənəm	219
597	San	feather	parṅá-	219
598	Lit	feather	plùnksna	220
599	oIr	feather	[clūm]	221
600	rIr	feather	[cleite]	222
601	Itn	feather	piuma	223
602	Lat	feather	< (pluma)	223
603	Alb	feather	[pendë]L	224
604	Hnd	feather	pãṅkh	225
#
605	Lit	fire	(oPr: panno)	226
606	oIs	fire	(fýrr)	226
607	Lat	fire	(U.m pir)	226
608	aGr	fire	πῦρ	226
609	Arm	fire	hur	226
610	Hit	fire	paḫḫur	226
